"Provedor";"Domínio";"Recurso";"Descrição funcional";"Requisitos de monitoramento";"Métricas / logs / eventos";"Criticidade";"Observações"
"Google Cloud Platform";"Armazenamento";"Cloud Storage (Bucket)";"Buckets GCS usados como pipeline_root, staging de builds, exportação de modelos, entre outros.";"Uso de espaço, contagem de objetos, taxa de erro de requisições, política de lifecycle.";"storage.googleapis.com/storage/total_bytes; .../api/request_count; Cloud Audit Logs / Object Access Logs.";"Alta";"O bucket <project>_cloudbuild é criado automaticamente por convenção do Cloud Build — vale monitorar custo/retenção separadamente."
"Google Cloud Platform";"Banco de Dados";"BigQuery Dataset";"Datasets analíticos, tipicamente alimentados por pipelines de transformação de dados.";"Volume de dados, custo de query (slots/bytes scanned), jobs com falha.";"bigquery.googleapis.com/query/count; .../storage/...; Cloud Audit Logs de jobs.";"Alta";"—"
"Google Cloud Platform";"Banco de Dados";"Cloud Spanner (Instance/Database)";"Banco relacional distribuído e escalável horizontalmente, com suporte a CMEK.";"Utilização de CPU por nó/processing unit, latência de leitura/escrita, lock contention.";"spanner.googleapis.com/instance/cpu/utilization; .../api/request_latencies; eventos de scaling de processing_units.";"Alta";"CPU alta sustentada é o principal indicador de necessidade de scale — recurso central para alertas de capacidade."
"Google Cloud Platform";"Banco de Dados";"Cloud SQL (Instance/Database)";"Banco relacional gerenciado, tipicamente acessado via proxy dedicado.";"CPU/memória/disco, conexões ativas, replicação, execução de backups.";"cloudsql.googleapis.com/database/cpu/utilization; .../disk/utilization; .../up; Cloud SQL Insights (performance de query).";"Alta";"Senha de admin gerenciada via Secret Manager — vale monitorar também rotação/acesso ao secret associado."
"Google Cloud Platform";"Banco de Dados";"Firestore Database";"Banco NoSQL de documentos, com suporte a CMEK.";"Latência de leitura/escrita, contagem de documentos, uso de índice.";"firestore.googleapis.com/document/...; Cloud Audit Logs.";"Média";"—"
"Google Cloud Platform";"Big Data & Analytics";"Dataproc Cluster";"Cluster Spark/Hadoop gerenciado.";"Uso de recursos dos nós, jobs em execução/falha, saúde do YARN.";"dataproc.googleapis.com/cluster/...; métricas de Compute Engine dos nós; logs de job do driver/YARN.";"Alta";"Criticidade concentrada nas janelas de execução de jobs críticos."
"Google Cloud Platform";"Big Data & Analytics";"Dataproc Serverless (Session Template)";"Template de sessão Spark serverless, sem cluster persistente.";"Duração e estado das sessões, custo por execução.";"dataproc.googleapis.com/... (batches/sessions); Cloud Logging de execução.";"Média";"Recurso efêmero — monitoramento orientado a evento/execução, não a série temporal contínua."
"Google Cloud Platform";"Big Data & Analytics";"Dataform Repository";"Repositório de transformação de dados (SQLX), tipicamente disparado por um orquestrador externo (ex.: Cloud Workflow).";"Estado da compilação, estado da execução do workflow (SUCCEEDED/FAILED), duração.";"Poucas métricas nativas dedicadas; principalmente Cloud Audit Logs (dataform.googleapis.com) e o estado retornado pela própria API (compilationResults/workflowInvocations).";"Alta";"Monitoramento hoje depende de quem dispara a execução logar/propagar o estado — vale considerar exportar isso como métrica customizada no Cloud Monitoring."
"Google Cloud Platform";"Big Data & Analytics";"Dataplex (Lake/Zone/Asset)";"Camada de governança e catalogação de dados sobre BigQuery/GCS.";"Qualidade de dados (se configurada), descoberta de assets, jobs de catalogação.";"dataplex.googleapis.com/...; Cloud Audit Logs.";"Média";"—"
"Google Cloud Platform";"Big Data & Analytics";"Analytics Hub (Data Exchange)";"Publicação e assinatura de datasets do BigQuery entre projetos/organizações.";"Listagens criadas/atualizadas, assinaturas ativas.";"Sem métrica de série temporal nativa relevante; monitoramento por Cloud Audit Logs (criação/atualização de listing).";"Média";"—"
"Google Cloud Platform";"Big Data & Analytics";"Cloud Composer (Airflow)";"Orquestrador de workflows — Airflow gerenciado.";"Saúde do scheduler/workers, DAGs com falha, fila de tarefas.";"composer.googleapis.com/environment/...; logs do Airflow (scheduler, worker, DAG) via Cloud Logging.";"Alta";"—"
"Google Cloud Platform";"Inteligência Artificial / ML";"Vertex AI Feature Store";"Armazenamento centralizado de features para treino e serving de modelos.";"Latência de leitura online, throughput de ingestão, uso de storage.";"aiplatform.googleapis.com/featurestore/...; Cloud Audit Logs.";"Alta";"Criticidade elevada quando usado em serving online (baixa latência é requisito direto do produto)."
"Google Cloud Platform";"Inteligência Artificial / ML";"Vertex AI Endpoint";"Endpoint de serving de modelo para predição online.";"Latência de predição, taxa de erro, utilização de réplicas.";"aiplatform.googleapis.com/prediction/online/...; Cloud Logging de requisições.";"Alta";"—"
"Google Cloud Platform";"Integração & Mensageria";"Pub/Sub (Topic/Subscription)";"Mensageria assíncrona entre serviços.";"Backlog de mensagens não confirmadas, idade da mensagem mais antiga, taxa de publish/pull.";"pubsub.googleapis.com/subscription/num_undelivered_messages; .../oldest_unacked_message_age.";"Alta";"Backlog crescente é o principal sinal de degradação do consumidor — recomendável alerta dedicado."
"Google Cloud Platform";"Integração & Mensageria";"Cloud Run (Service)";"Serviço serverless para APIs/workers HTTP.";"Latência de requisição, taxa de erro, contagem de instâncias, cold starts.";"run.googleapis.com/request_count; .../request_latencies; .../container/instance_count.";"Alta";"O recurso de serviço em si costuma ser implantado via pipeline de CI/CD (ex.: gcloud run deploy), não necessariamente via infraestrutura como código — identidade e rede de suporte são provisionadas separadamente."
"Google Cloud Platform";"CI/CD & Build";"Cloud Build (Worker Pool)";"Worker pool privado dedicado para execução de builds (usado em esteiras de treino/promoção de modelo).";"Duração de build, taxa de sucesso/falha, fila de builds pendentes, utilização do pool.";"cloudbuild.googleapis.com/build/...; Cloud Logging de cada build (step a step).";"Alta";"O bucket <project>_cloudbuild (staging de source) é criado junto — ver categoria Armazenamento."
"Google Cloud Platform";"CI/CD & Build";"Artifact Registry";"Repositório privado de pacotes/imagens (ex.: índice PyPI privado usado em esteiras de treino).";"Uso de storage, contagem de pulls/pushes, vulnerabilidades (se scanning habilitado).";"artifactregistry.googleapis.com/...; Cloud Audit Logs.";"Média";"—"
"Google Cloud Platform";"Segurança & Identidade";"Service Accounts";"Identidades de máquina usadas por cada recurso/workload.";"Uso de chaves (quando existirem), atividade de impersonação, contas órfãs/não utilizadas.";"Sem métrica de série temporal; monitoramento via Cloud Audit Logs (Admin Activity + Data Access) e Policy Intelligence (recomendador de SAs não usadas).";"Alta";"Padrão observado no ambiente é não gerar chaves estáticas para as SAs — reduz superfície de risco por padrão."
"Google Cloud Platform";"Segurança & Identidade";"IAM (Roles, Bindings, Custom Roles)";"Concessões de permissão em nível de projeto/recurso.";"Mudanças de política (quem ganhou/perdeu acesso), uso de roles amplas (least privilege).";"Cloud Audit Logs (SetIamPolicy); IAM Recommender / Policy Analyzer.";"Alta";"—"
"Google Cloud Platform";"Segurança & Identidade";"Cloud KMS (CMEK)";"Chaves de criptografia gerenciadas pelo cliente, usadas por múltiplos recursos (Spanner, Cloud SQL, GCS, BigQuery, Firestore, Workbench, Dataform, Composer).";"Uso da chave (chamadas de encrypt/decrypt), estado da chave (ativa/desabilitada/destruição agendada), propagação de IAM.";"cloudkms.googleapis.com/...; Cloud Audit Logs de uso da chave.";"Alta";"Propagação de IAM em bindings de KMS é causa recorrente de falha intermitente em provisionamento — recursos costumam esperar um tempo de propagação antes de usar a chave."
"Google Cloud Platform";"Segurança & Identidade";"Secret Manager";"Armazenamento de segredos (ex.: senha de admin de banco de dados).";"Acesso ao secret, versões ativas/desabilitadas, rotação.";"Cloud Audit Logs de acesso (AccessSecretVersion).";"Alta";"—"
"Google Cloud Platform";"Segurança & Identidade";"Workload Identity Federation";"Federação de identidade usada por sistemas externos (ex.: CI/CD) para autenticar no GCP sem chave estática.";"Uso do pool/provider, tentativas de autenticação negadas.";"Cloud Audit Logs de autenticação federada.";"Alta";"—"
"Google Cloud Platform";"Observabilidade";"(Gap) Monitoring/Logging como código";"Nenhum recurso de infraestrutura como código dedicado a dashboards, alerting policies ou log sinks foi identificado no levantamento atual.";"N/A — item de lacuna, não de recurso provisionado.";"N/A";"Média";"Recomenda-se validar se alertas/dashboards são geridos hoje fora da infraestrutura como código, e se faz sentido trazer isso para o mesmo padrão dos demais recursos."
